,Sno,Country/Territory,UN Region,Bank,Ammount,Year
565,189,Timor-Leste,Asia,World Bank,2741,2021
566,189,Timor-Leste,Asia,United Nations,1517,2021
567,190,Zambia,Africa,IMF,1423,2023
568,190,Zambia,Africa,World Bank,1137,2021
569,190,Zambia,Africa,United Nations,1095,2021
570,191,Benin,Africa,IMF,1390,2023
571,191,Benin,Africa,World Bank,1319,2021
572,191,Benin,Africa,United Nations,1361,2021
573,192,Nepal,Asia,IMF,1377,2023
574,192,Nepal,Asia,World Bank,1208,2021
575,192,Nepal,Asia,United Nations,1159,2021
576,193,Comoros,Africa,IMF,1360,2023
577,193,Comoros,Africa,World Bank,1578,2021
578,193,Comoros,Africa,United Nations,1631,2021
579,194,Tanzania,Africa,IMF,1348,2023
580,194,Tanzania,Africa,World Bank,1099,2021
581,194,Tanzania,Africa,United Nations,1136,2021
582,195,Tajikistan,Asia,IMF,1277,2023
583,195,Tajikistan,Asia,World Bank,897,2021
584,195,Tajikistan,Asia,United Nations,897,2021
585,196,Zanzibar,Africa,IMF,0,0
586,196,Zanzibar,Africa,World Bank,0,0
587,196,Zanzibar,Africa,United Nations,1211,0
588,197,Lesotho,Africa,IMF,1208,2023
589,197,Lesotho,Africa,World Bank,1094,2021
590,197,Lesotho,Africa,United Nations,1040,2021
591,198,Myanmar,Asia,IMF,1180,2023
592,198,Myanmar,Asia,World Bank,1210,2021
593,198,Myanmar,Asia,United Nations,1089,2021
594,199,Uganda,Africa,IMF,1105,2023
595,199,Uganda,Africa,World Bank,884,2021
596,199,Uganda,Africa,United Nations,930,2021
597,200,Togo,Africa,IMF,990,2023
598,200,Togo,Africa,World Bank,973,2021
599,200,Togo,Africa,United Nations,944,2021
600,201,Sudan,Africa,IMF,975,2023
601,201,Sudan,Africa,World Bank,752,2021
602,201,Sudan,Africa,United Nations,786,2021
603,202,Guinea-Bissau,Africa,IMF,974,2023
604,202,Guinea-Bissau,Africa,World Bank,795,2021
605,202,Guinea-Bissau,Africa,United Nations,759,2021
606,203,Rwanda,Africa,IMF,970,2023
607,203,Rwanda,Africa,World Bank,822,2021
608,203,Rwanda,Africa,United Nations,822,2021
609,204,Syria,Asia,IMF,0,0
610,204,Syria,Asia,World Bank,533,2020
611,204,Syria,Asia,United Nations,925,2020
612,205,Burkina Faso,Africa,IMF,900,2023
613,205,Burkina Faso,Africa,World Bank,893,2021
614,205,Burkina Faso,Africa,United Nations,893,2021
615,206,Mali,Africa,IMF,889,2023
616,206,Mali,Africa,World Bank,874,2021
617,206,Mali,Africa,United Nations,875,2021
618,207,Gambia,Africa,IMF,861,2023
619,207,Gambia,Africa,World Bank,772,2021
620,207,Gambia,Africa,United Nations,772,2021
621,208,Liberia,Africa,IMF,805,2023
622,208,Liberia,Africa,World Bank,676,2021
623,208,Liberia,Africa,United Nations,471,2021
624,209,Eritrea,Africa,IMF,715,2023
625,209,Eritrea,Africa,World Bank,644,2011
626,209,Eritrea,Africa,United Nations,623,2011
627,210,DR Congo,Africa,IMF,695,2023
628,210,DR Congo,Africa,World Bank,577,2021
629,210,DR Congo,Africa,United Nations,551,2021
630,211,Chad,Africa,IMF,667,2023
631,211,Chad,Africa,World Bank,686,2021
632,211,Chad,Africa,United Nations,955,2021
633,212,North Korea,Asia,IMF,0,0
634,212,North Korea,Asia,World Bank,0,0
635,212,North Korea,Asia,United Nations,654,0
636,213,Niger,Africa,IMF,613,2023
637,213,Niger,Africa,World Bank,591,2021
638,213,Niger,Africa,United Nations,591,2021
639,214,Mozambique,Africa,IMF,587,2023
640,214,Mozambique,Africa,World Bank,492,2021
641,214,Mozambique,Africa,United Nations,492,2021
642,215,Yemen,Asia,IMF,573,2023
643,215,Yemen,Asia,World Bank,702,2018
644,215,Yemen,Asia,United Nations,302,2018
645,216,Somalia,Africa,IMF,544,2023
646,216,Somalia,Africa,World Bank,447,2021
647,216,Somalia,Africa,United Nations,447,2021
648,217,Madagascar,Africa,IMF,536,2023
649,217,Madagascar,Africa,World Bank,501,2021
650,217,Madagascar,Africa,United Nations,500,2021
651,218,Central African Republic,Africa,IMF,534,2023
652,218,Central African Republic,Africa,World Bank,461,2021
653,218,Central African Republic,Africa,United Nations,461,2021
654,219,Malawi,Africa,IMF,496,2023
655,219,Malawi,Africa,World Bank,635,2021
656,219,Malawi,Africa,United Nations,613,2021
657,220,South Sudan,Africa,IMF,467,2023
658,220,South Sudan,Africa,World Bank,1072,2015
659,220,South Sudan,Africa,United Nations,400,2015
660,221,Sierra Leone,Africa,IMF,415,2023
661,221,Sierra Leone,Africa,World Bank,480,2021
662,221,Sierra Leone,Africa,United Nations,505,2021
663,222,Afghanistan,Asia,IMF,611,2020
664,222,Afghanistan,Asia,World Bank,369,2021
665,222,Afghanistan,Asia,United Nations,373,2021
666,223,Burundi,Africa,IMF,249,2023
667,223,Burundi,Africa,World Bank,222,2021
668,223,Burundi,Africa,United Nations,311,2021
